"id","name","value","created","modified"
"","name","baserCMS inc. [デモ]","",""
"","keyword","","",""
"","description","","",""
"","address","","",""
"","theme","demo","",""
"","email","","",""
"","widget_area","","",""
"","maintenance","0","",""
"","mail_encode","UTF-8","",""
"","smtp_host","","",""
"","smtp_user","","",""
"","smtp_password","","",""
"","smtp_port","","",""
"","formal_name","baserCMS inc. [デモ]","",""
"","mobile","1","",""
"","admin_list_num","10","",""
"","google_analytics_id","","",""
"","content_categories","","",""
"","content_types","","",""
"","root_owner_id","","",""
"","category_permission","","",""
"","admin_theme","","",""
"","login_credit","1","",""
"","first_access","1","",""
"","editor_styles","#青見出し(h3)
h3 {
	color:Blue;
}

#赤見出し(h3)
h3 {
	color:Red;
}

#黄マーカー(span)
span {
	background-color:Yellow;
}

#緑マーカー(span)
span {
	background-color:Lime;
}

#大文字(big)
big {}

#小文字(small)
small {}

#コード(code)
code {}

#削除文(del)
del {}

#挿入文(ins)
ins {}

#引用(cite)
cite {}

#インライン(q)
q {}","",""
"","editor_enter_br","","",""
"","root_layout_template","default","",""
"","root_layout_template_mobile","default","",""
"","root_layout_template_smartphone","default","",""
"","root_content_template","default","",""
"","root_content_template_mobile","default","",""
"","root_content_template_smartphone","default","",""
"","linked_pages_mobile","0","",""
"","linked_pages_smartphone","0","",""
